stop_id,stop_name,stop_lat,stop_lon
"22750","Caroline Springs Library/Caroline Springs Bvd (Caroline Springs)","-37.7331914730951","144.741007321498"
"22751","Caroline Springs Library/Caroline Springs Bvd (Caroline Springs)","-37.7333948292757","144.741273460205"
"23001","St Mary MacKillop Primary School/Sunshine Ave (Keilor Downs)","-37.714674386478","144.803541499243"
"23229","Koornang Rd/Dandenong Rd (Carnegie)","-37.8840103496905","145.057166884681"
"23319","Evans Rd/South Gippsland Hwy (Hampton Park)","-38.0583276556291","145.26291735576"
"23356","Woollahra Pde/Gourlay Rd (Caroline Springs)","-37.7126905857484","144.740087449912"
"23357","Woollahra Pde/Gourlay Rd (Taylors Hill)","-37.7127487542579","144.740301209142"
"23366","Tintern Lp/Gourlay Rd (Hillside (3037))","-37.6933798474602","144.743906018433"
"23367","Tintern Lp/Gourlay Rd (Hillside (3037))","-37.6939065555134","144.744116864453"
"23390","Princes Hwy/Hallam South Rd (Hallam)","-38.0078492502669","145.273107381975"
"23505","Alexandra Ave/Pascoe Vale Rd (Moonee Ponds)","-37.7661189865766","144.92516570955"
"2380","Argyle Square/Lygon St (Carlton)","-37.8025934917886","144.96672517012"
"2450","Gaffney St/Derby St (Pascoe Vale)","-37.7317430408906","144.945971223305"
"2453","Bell St/Turner St (Pascoe Vale South)","-37.7389229166399","144.94530750865"
"2563","Whitehall St/Hopkins St (Footscray)","-37.8003700106379","144.905672542188"
"2603","215 Jacksons Rd (Noble Park North)","-37.9385888627991","145.192481900841"
"2683","Mill Park Stables SC/Childs Rd (Mill Park)","-37.66726669566","145.060055186888"
"2690","Bundoora RMIT/Plenty Rd (Bundoora)","-37.6829899624036","145.069216222848"
"2785","Carrum Railway Station/Station St (Carrum)","-38.0755653322898","145.122765873652"
"2844","Waverley Park/Wellington Rd (Wheelers Hill)","-37.9222919617301","145.18933152873"
"2873","Dandenong Hospital/Cleeland St (Dandenong)","-37.9774826535785","145.215994542055"
"2916","Douglas St/Heatherton Rd (Noble Park)","-37.9649415161661","145.172200128496"
"2940","Kirkham Rd/Hammond Rd (Dandenong South)","-37.998181749712","145.2088081938"
"298","Crissane Rd/Waterdale Rd (Heidelberg West)","-37.7284293456922","145.050097852139"
"3115","Linden Place SC/Power Rd (Doveton)","-37.9854039806406","145.239907451659"
"3158","Forrest Ct/James Cook Dr (Endeavour Hills)","-37.9862473371947","145.274923413363"
"316","Green St/Oriel Rd (Ivanhoe)","-37.7658606144458","145.035185986588"
"3284","Macedon Rd/Manningham Rd (Templestowe Lower)","-37.7736650238346","145.112909413895"
"3307","Kingsclere Ave/Corrigan Rd (Keysborough)","-37.9807511634908","145.165443464495"
"3467","Berwick Shopping Centre/High St (Berwick)","-38.0313001112555","145.345930998298"
"3665","Magnolia Gr/Box St (Doveton)","-37.9949540525226","145.2373333118"
"3672","George Ave/Frawley Rd (Hallam)","-37.9993489166346","145.257693165238"
"3681","Belgrave-Hallam Rd/Princes Hwy (Hallam)","-38.0064400735372","145.27410856135"
"3697","Berwick Shopping Centre/High St (Berwick)","-38.0308807540171","145.344949196803"
"379","Station St/Darebin Rd (Thornbury)","-37.765359762889","145.01980580662"
